
2024/07/10 (21:52:16) | DEBUG: Shared::init() : Initialized.

2024/08/14 (17:37:00) | ===> btop++ v.1.3.2
2024/08/14 (17:37:00) | INFO: Logger set to DEBUG
2024/08/14 (17:37:00) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/14 (17:37:00) | INFO: Running on /dev/pts/0
2024/08/14 (17:37:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/14 (17:37:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/14 (17:37:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/14 (17:37:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/14 (17:37:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/14 (17:37:00) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/14 (17:37:00) | DEBUG: Shared::init() : Initialized.
